bundesliga,https://tmssl.akamaized.net/images/logo/medium/l1.png?lm=1525905518,https://tmssl.akamaized.net/images/flagge/medium/40.png?lm=1520612525
dfb pokal,https://tmssl.akamaized.net/images/logo/medium/dfb.png?lm=1520938419,https://tmssl.akamaized.net/images/flagge/medium/40.png?lm=1520612525
dfl supercup,https://tmssl.akamaized.net/images/wappen/medium/default.png?lm=1457423031,https://tmssl.akamaized.net/images/flagge/medium/default.png?lm=1520611569
eredivisie,https://tmssl.akamaized.net/images/wappen/medium/default.png?lm=1457423031,https://tmssl.akamaized.net/images/flagge/medium/122.png?lm=1520611569
toto knvb beker,https://tmssl.akamaized.net/images/logo/medium/nlp.png?lm=1400794139,https://tmssl.akamaized.net/images/flagge/medium/122.png?lm=1520611569
johan cruijff schaal,https://tmssl.akamaized.net/images/logo/medium/nlsc.png?lm=1500105989,https://tmssl.akamaized.net/images/flagge/medium/122.png?lm=1520611569
jupiler pro league,https://tmssl.akamaized.net/images/logo/medium/be1.png?lm=1601478124,https://tmssl.akamaized.net/images/flagge/medium/19.png?lm=1520611569
belgian supercup,https://tmssl.akamaized.net/images/logo/medium/besc.png?lm=1498487340,https://tmssl.akamaized.net/images/flagge/medium/19.png?lm=1520611569
laliga,https://tmssl.akamaized.net/images/logo/medium/es1.png?lm=1557051003,https://tmssl.akamaized.net/images/flagge/medium/157.png?lm=1520611569
copa del rey,https://tmssl.akamaized.net/images/logo/medium/cdr.png?lm=1622730281,https://tmssl.akamaized.net/images/flagge/medium/157.png?lm=1520611569
supercopa,https://tmssl.akamaized.net/images/logo/medium/suc.png?lm=1641310343,https://tmssl.akamaized.net/images/flagge/medium/157.png?lm=1520611569
liga portugal bwin,https://tmssl.akamaized.net/images/logo/medium/po1.png?lm=1626110146,https://tmssl.akamaized.net/images/flagge/medium/136.png?lm=1520611569
allianz cup,https://tmssl.akamaized.net/images/logo/medium/pocp.png?lm=1606918164,https://tmssl.akamaized.net/images/flagge/medium/136.png?lm=1520611569
supertaca candido de oliveira,https://tmssl.akamaized.net/images/logo/medium/posu.png?lm=1470311398,https://tmssl.akamaized.net/images/flagge/medium/136.png?lm=1520611569
ligue 1,https://tmssl.akamaized.net/images/logo/medium/fr1.png?lm=1592648063,https://tmssl.akamaized.net/images/flagge/medium/50.png?lm=1520611569
trophee des champions,https://tmssl.akamaized.net/images/logo/medium/frch.png?lm=1627557216,https://tmssl.akamaized.net/images/flagge/medium/50.png?lm=1520611569
premier league,https://tmssl.akamaized.net/images/wappen/small/default.png?lm=1457423031,https://tmssl.akamaized.net/images/flagge/medium/153.png?lm=1520611569
efl cup,https://tmssl.akamaized.net/images/logo/medium/cgb.png?lm=1566937342,https://tmssl.akamaized.net/images/flagge/medium/189.png?lm=1520611569
community shield,https://tmssl.akamaized.net/images/logo/medium/gbcs.png?lm=1470391655,https://tmssl.akamaized.net/images/flagge/medium/189.png?lm=1520611569
premier liga,https://tmssl.akamaized.net/images/logo/medium/ru1.png?lm=1582769594,https://tmssl.akamaized.net/images/flagge/medium/141.png?lm=1520611569
russian cup,https://tmssl.akamaized.net/images/logo/medium/rup.png?lm=1627029740,https://tmssl.akamaized.net/images/flagge/medium/141.png?lm=1520611569
russian super cup,https://tmssl.akamaized.net/images/logo/medium/russ.png?lm=1499521463,https://tmssl.akamaized.net/images/flagge/medium/141.png?lm=1520611569
premier liga,https://tmssl.akamaized.net/images/logo/medium/ru1.png?lm=1582769594,https://tmssl.akamaized.net/images/flagge/medium/141.png?lm=1520611569
ukrainian cup,https://tmssl.akamaized.net/images/logo/medium/ukrp.png?lm=1628587151,https://tmssl.akamaized.net/images/flagge/medium/177.png?lm=1520611569
ukrainian super cup,https://tmssl.akamaized.net/images/logo/medium/ukrs.png?lm=1627823641,https://tmssl.akamaized.net/images/flagge/medium/177.png?lm=1520611569
scottish premiership,https://tmssl.akamaized.net/images/logo/medium/sc1.png?lm=1404071829,https://tmssl.akamaized.net/images/flagge/medium/190.png?lm=1520611569
sfa cup,https://tmssl.akamaized.net/images/logo/medium/sfa.png?lm=1409144831,https://tmssl.akamaized.net/images/flagge/medium/190.png?lm=1520611569
serie a,https://tmssl.akamaized.net/images/wappen/medium/65467.png?lm=1520334717,https://tmssl.akamaized.net/images/flagge/medium/75.png?lm=1520611569
italy cup,https://tmssl.akamaized.net/images/logo/medium/cit.png?lm=1613033113,https://tmssl.akamaized.net/images/flagge/medium/75.png?lm=1520611569
supercoppa italiana,https://tmssl.akamaized.net/images/logo/medium/sci.png?lm=1576764644,https://tmssl.akamaized.net/images/flagge/medium/75.png?lm=1520611569
super league 1,https://tmssl.akamaized.net/images/logo/medium/gr1.png?lm=1460983749,https://tmssl.akamaized.net/images/flagge/medium/56.png?lm=1520611569
kypello elladas,https://tmssl.akamaized.net/images/logo/medium/grp.png?lm=1479755257,https://tmssl.akamaized.net/images/flagge/medium/56.png?lm=1520611569
super lig,https://tmssl.akamaized.net/images/logo/medium/tr1.png?lm=1639084065,https://tmssl.akamaized.net/images/flagge/medium/174.png?lm=1520611569
superligaen,https://tmssl.akamaized.net/images/logo/medium/dk1.png?lm=1578774986,https://tmssl.akamaized.net/images/flagge/medium/39.png?lm=1520611569
sydbank pokalen,https://tmssl.akamaized.net/images/logo/medium/dkp.png?lm=1535647738,https://tmssl.akamaized.net/images/flagge/medium/39.png?lm=1520611569
uefa super cup,https://tmssl.akamaized.net/images/logo/medium/usc.png?lm=1520607013,https://tmssl.akamaized.net/images/flagge/medium/default.png?lm=1520611569
uefa champions league,https://tmssl.akamaized.net/images/logo/medium/cl.png?lm=1626810555,https://tmssl.akamaized.net/images/flagge/medium/default.png?lm=1520611569
europa league,https://tmssl.akamaized.net/images/logo/medium/el.png?lm=1626811059,https://tmssl.akamaized.net/images/flagge/medium/default.png?lm=1520611569
fifa klub wm,https://tmssl.akamaized.net/images/logo/medium/klub.png?lm=1520607013,https://tmssl.akamaized.net/images/flagge/medium/default.png?lm=1520611569
uefa europa conference league qualifikation,null,https://tmssl.akamaized.net/images/flagge/medium/default.png?lm=1520611569
uefa champions league qualifikation,null,https://tmssl.akamaized.net/images/flagge/medium/default.png?lm=1520611569
europa league qualifikation,https://tmssl.akamaized.net/images/logo/medium/elq.png?lm=1626811939,https://tmssl.akamaized.net/images/flagge/medium/default.png?lm=1520611569
