Club_Name,Logo,Country
adanaspor,https://tmssl.akamaized.net/images/wappen/big/6.png?lm=1442130460,https://tmssl.akamaized.net/images/flagge/medium/174.png?lm=1520611569
gaziantepspor,https://tmssl.akamaized.net/images/wappen/big/524.png?lm=1408654192,https://tmssl.akamaized.net/images/flagge/medium/174.png?lm=1520611569
iraklis thessaloniki,https://tmssl.akamaized.net/images/wappen/big/47.png?lm=1541924455,https://tmssl.akamaized.net/images/flagge/medium/56.png?lm=1520611569
veria nps,https://tmssl.akamaized.net/images/wappen/big/2079.png?lm=1573421746,https://tmssl.akamaized.net/images/flagge/medium/56.png?lm=1520611569
palermo fc,https://tmssl.akamaized.net/images/wappen/big/458.png?lm=1565704853,https://tmssl.akamaized.net/images/flagge/medium/75.png?lm=1520611569
delfino pescara 1936,https://tmssl.akamaized.net/images/wappen/big/2921.png?lm=1517054151,https://tmssl.akamaized.net/images/flagge/medium/75.png?lm=1520611569
inverness caledonian thistle fc,https://tmssl.akamaized.net/images/wappen/big/2451.png?lm=1416262902,https://tmssl.akamaized.net/images/flagge/medium/190.png?lm=1520611569
fk tosno,https://tmssl.akamaized.net/images/wappen/big/40426.png?lm=1419710165,https://tmssl.akamaized.net/images/flagge/medium/141.png?lm=1520611569
amkar perm,https://tmssl.akamaized.net/images/wappen/big/4128.png?lm=1623919032,https://tmssl.akamaized.net/images/flagge/medium/141.png?lm=1520611569
ska khabarovsk,https://tmssl.akamaized.net/images/wappen/big/3690.png?lm=1469710667,https://tmssl.akamaized.net/images/flagge/medium/141.png?lm=1520611569
swansea city,https://tmssl.akamaized.net/images/wappen/big/2288.png?lm=1472243738,https://tmssl.akamaized.net/images/flagge/medium/191.png?lm=1520611569
stoke city,https://tmssl.akamaized.net/images/wappen/big/512.png?lm=1472243727,https://tmssl.akamaized.net/images/flagge/medium/189.png?lm=1520611569
fc malaga,https://tmssl.akamaized.net/images/wappen/big/1084.png?lm=1474921800,https://tmssl.akamaized.net/images/flagge/medium/157.png?lm=1520611569
deportivo la coruna,https://tmssl.akamaized.net/images/wappen/big/897.png?lm=1563373966,https://tmssl.akamaized.net/images/flagge/medium/157.png?lm=1520611569
ud las palmas,https://tmssl.akamaized.net/images/wappen/big/472.png?lm=1407484865,https://tmssl.akamaized.net/images/flagge/medium/157.png?lm=1520611569
roda jc kerkrade,https://tmssl.akamaized.net/images/wappen/big/192.png?lm=1404055999,https://tmssl.akamaized.net/images/flagge/medium/122.png?lm=1520611569
hamburger sv,https://tmssl.akamaized.net/images/wappen/big/41.png?lm=1597319274,https://tmssl.akamaized.net/images/flagge/medium/40.png?lm=1520612525
pfk stal kamyanske,https://tmssl.akamaized.net/images/wappen/big/16247.png?lm=1468413607,https://tmssl.akamaized.net/images/flagge/medium/177.png?lm=1520611569
zirka kropyvnytskyi,https://tmssl.akamaized.net/images/wappen/big/8838.png?lm=1472073819,https://tmssl.akamaized.net/images/flagge/medium/177.png?lm=1520611569
ao platanias,https://tmssl.akamaized.net/images/wappen/big/21957.png?lm=1421004104,https://tmssl.akamaized.net/images/flagge/medium/56.png?lm=1520611569
aok kerkyra,https://tmssl.akamaized.net/images/wappen/big/17549.png?lm=1495611422,https://tmssl.akamaized.net/images/flagge/medium/56.png?lm=1520611569
kardemir karabukspor,https://tmssl.akamaized.net/images/wappen/big/1506.png?lm=1407228551,https://tmssl.akamaized.net/images/flagge/medium/174.png?lm=1520611569
ankaraspor,https://tmssl.akamaized.net/images/wappen/big/2944.png?lm=1621244931,https://tmssl.akamaized.net/images/flagge/medium/174.png?lm=1520611569
partick thistle fc,https://tmssl.akamaized.net/images/wappen/big/2760.png?lm=1416262803,https://tmssl.akamaized.net/images/flagge/medium/190.png?lm=1520611569
fc helsingor,https://tmssl.akamaized.net/images/wappen/big/22110.png?lm=1595872818,https://tmssl.akamaized.net/images/flagge/medium/39.png?lm=1520611569
hannover 96,https://tmssl.akamaized.net/images/wappen/big/42.png?lm=1625590625,https://tmssl.akamaized.net/images/flagge/medium/40.png?lm=1520612525
sm caen,https://tmssl.akamaized.net/images/wappen/big/1162.png?lm=1499703190,https://tmssl.akamaized.net/images/flagge/medium/50.png?lm=1520611569
ea guingamp,https://tmssl.akamaized.net/images/wappen/big/855.png?lm=1560859651,https://tmssl.akamaized.net/images/flagge/medium/50.png?lm=1520611569
cardiff city,https://tmssl.akamaized.net/images/wappen/big/603.png?lm=1478337063,https://tmssl.akamaized.net/images/flagge/medium/191.png?lm=1520611569
huddersfield town,https://tmssl.akamaized.net/images/wappen/big/1110.png?lm=1567439677,https://tmssl.akamaized.net/images/flagge/medium/189.png?lm=1520611569
cd feirense,https://tmssl.akamaized.net/images/wappen/big/3349.png?lm=1469968627,https://tmssl.akamaized.net/images/flagge/medium/136.png?lm=1520611569
gd chaves,https://tmssl.akamaized.net/images/wappen/big/3325.png?lm=1416392512,https://tmssl.akamaized.net/images/flagge/medium/136.png?lm=1520611569
fc girona,https://tmssl.akamaized.net/images/wappen/big/12321.png?lm=1635282850,https://tmssl.akamaized.net/images/flagge/medium/157.png?lm=1520611569
