Player_Name,Player_Img_Url,P_Country_Url
frenkie de jong,https://img.a.transfermarkt.technology/portrait/big/326330-1599987876.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/122.png?lm=1520611569
sergej milinković savić,https://img.a.transfermarkt.technology/portrait/big/default.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/default.png?lm=1520611569
joshua kimmich,https://img.a.transfermarkt.technology/portrait/big/161056-1636537308.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/40.png?lm=1520612525
marc andre ter stegen,https://img.a.transfermarkt.technology/portrait/big/74857-1599987750.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/40.png?lm=1520612525
roberto firmino,https://img.a.transfermarkt.technology/portrait/big/131789-1520605270.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/26.png?lm=1520611569
serge gnabry,https://img.a.transfermarkt.technology/portrait/big/159471-1570373116.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/40.png?lm=1520612525
marcus rashford,https://img.a.transfermarkt.technology/portrait/big/258923-1565603308.png?lm=1,https://tmssl.akamaized.net/images/flagge/medium/189.png?lm=1520611569
raphael varane,https://img.a.transfermarkt.technology/portrait/big/164770-1598301905.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/50.png?lm=1520611569
timo werner,https://img.a.transfermarkt.technology/portrait/big/170527-1471002206.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/40.png?lm=1520612525
lautaro martinez,https://img.a.transfermarkt.technology/portrait/big/406625-1535015019.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/9.png?lm=1520611569
ansu fati,https://img.a.transfermarkt.technology/portrait/big/466810-1560761660.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/157.png?lm=1520611569
alphonso davies,https://img.a.transfermarkt.technology/portrait/big/424204-1570372661.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/80.png?lm=1520611569
gabriel jesus,https://img.a.transfermarkt.technology/portrait/big/363205-1533284263.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/26.png?lm=1520611569
casemiro,https://img.a.transfermarkt.technology/portrait/big/16306-1622131439.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/26.png?lm=1520611569
marcos llorente,https://img.a.transfermarkt.technology/portrait/big/282411-1603712126.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/157.png?lm=1520611569
pedri,https://img.a.transfermarkt.technology/portrait/big/683840-1620304992.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/157.png?lm=1520611569
rodri,https://img.a.transfermarkt.technology/portrait/big/88103-1540568385.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/83.png?lm=1520611569
sergio busquets,https://img.a.transfermarkt.technology/portrait/big/65230-1453896822.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/157.png?lm=1520611569
andrew robertson,https://img.a.transfermarkt.technology/portrait/big/234803-1559827085.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/190.png?lm=1520611569
