name
cesena-fc
gs-ergotelis
balikesirspor
kayseri-erciyesspor
niki-volou
fc-vestsjaelland
metalurg-donetsk
fc-dordrecht
ud-almeria
fc-cordoba
torpedo-moskau
queens-park-rangers
lierse-sk
fc-penafiel
thonon-evian-grand-geneve-fc
goverla-uzhgorod
metalurg-zaporizhya-bis-2016-
panthrakikos-komotini
mersin-idmanyurdu
ael-kalloni
carpi-fc-1909
eskisehirspor
metalist-kharkiv
gfc-ajaccio
mordovia-saransk
kuban-krasnodar
academica-coimbra
cf-uniao-madeira
fc-middlesbrough
hull-city
afc-sunderland
tom-tomsk
volyn-lutsk
dnipro-dnipropetrovsk
as-nancy-lorraine
sporting-gijon
sc-bastia
kvc-westerlo
sv-darmstadt-98
fc-ingolstadt-04
adanaspor
gaziantepspor
iraklis-thessaloniki
veria-nps
palermo-fc
delfino-pescara-1936
inverness-caledonian-thistle-fc
fk-tosno
amkar-perm
ska-khabarovsk
swansea-city
stoke-city
fc-malaga
deportivo-la-coruna
ud-las-palmas
roda-jc-kerkrade
hamburger-sv
pfk-stal-kamyanske
zirka-kropyvnytskyi
ao-platanias
aok-kerkyra
kardemir-karabukspor
ankaraspor
partick-thistle-fc
fc-helsingor
hannover-96
sm-caen
ea-guingamp
cardiff-city
huddersfield-town
cd-feirense
gd-chaves
fc-girona
de-graafschap-doetinchem
sbv-excelsior-rotterdam
nac-breda
ksc-lokeren
1-fc-nurnberg
anzhi-makhachkala
enisey-krasnoyarsk
apo-levadiakos
frosinone-calcio
chievo-verona
arsenal-kiew
akhisarspor
bursaspor
vendsyssel-ff
fortuna-dusseldorf
amiens-sc
fc-toulouse
desportivo-aves
vitoria-setubal-fc
afc-bournemouth
cd-leganes
sc-paderborn-07
fk-orenburg
karpaty-lviv
hobro-ik
esbjerg-fb
panionios-athen
ao-xanthi
us-lecce
brescia-calcio
spal
sv-werder-bremen
west-bromwich-albion
sheffield-united
nimes-olympique
cd-nacional
pfk-tambov
rotor-volgograd
dijon-fco
sc-farense
rio-ave-fc
sd-huesca
real-valladolid
sd-eibar
fc-fulham
waasland-beveren
royal-excel-mouscron
vvv-venlo
fc-emmen
ado-den-haag
fc-schalke-04
olimpik-donetsk
hamilton-academical-fc
mke-ankaragucu
genclerbirligi-ankara
buyuksehir-belediye-erzurumspor
denizlispor
fc-crotone
benevento-calcio
ae-larisa
parma-calcio-1913
kilmarnock-fc
lyngby-bk
ac-horsens
fc-bayern-munchen
arminia-bielefeld
benfica-lissabon
fc-vizela
vfl-bochum
rfc-seraing
fk-nizhny-novgorod
kas-eupen
vv-st-truiden
viborg-ff
fc-burnley
fk-minaj
nk-veres-rivne
apollon-smyrnis
spvgg-greuther-furth
silkeborg-if
us-salernitana-1919
sivasspor
konyaspor
antalyaspor
goztepe
adana-demirspor
caykur-rizespor
kayserispor
alanyaspor
istanbul-basaksehir-fk
trabzonspor
galatasaray-istanbul
gaziantep-fk
yeni-malatyaspor
altay-sk
spezia-calcio
fc-empoli
genua-cfc
giresunspor
hellas-verona
sampdoria-genua
besiktas-istanbul
fenerbahce-istanbul
venezia-fc
kasimpasa
us-sassuolo
cagliari-calcio
hatayspor
ac-florenz
ac-mailand
fc-bologna
inter-mailand
fatih-karagumruk
atalanta-bergamo
udinese-calcio
ssc-neapel
lazio-rom
fc-turin
aalborg-bk
juventus-turin
odense-boldklub
as-rom
fc-kopenhagen
brondby-if
panetolikos-gfs
pas-lamia-1964
pas-giannina
ionikos-nikeas
asteras-tripolis
vejle-boldklub
atromitos-athen
fc-midtjylland
randers-fc
sonderjyske
ofi-kreta
paok-thessaloniki
panathinaikos-athen
olympiakos-piraus
ross-county-fc
volos-nps
aarhus-gf
fc-nordsjaelland
dundee-united-fc
dundee-fc
heart-of-midlothian-fc
st-mirren-fc
aris-thessaloniki
hibernian-fc
glasgow-rangers
pfk-lviv
ingulets-petrove
livingston-fc
rukh-lviv
celtic-glasgow
fk-mariupol
metalist-1925-kharkiv
kolos-kovalivka
desna-chernigiv
chornomorets-odessa
st-johnstone-fc
zorya-lugansk
fk-oleksandriya
shakhtar-donetsk
fc-watford
sk-dnipro-1
fc-brentford
norwich-city
dynamo-kiew
fc-southampton
crystal-palace
brighton-amp-hove-albion
leeds-united
wolverhampton-wanderers
aek-athen
motherwell-fc
fc-everton
aberdeen-fc
aston-villa
tottenham-hotspur
leicester-city
vorskla-poltava
manchester-city
fc-liverpool
rayo-vallecano
fc-elche
manchester-united
rcd-mallorca
fc-granada
fc-cadiz
fc-arsenal
celta-vigo
newcastle-united
athletic-bilbao
fc-chelsea
real-betis-sevilla
espanyol-barcelona
fc-valencia
fc-villarreal
real-sociedad-san-sebastian
ud-levante
atletico-madrid
real-madrid
fc-sevilla
west-ham-united
clermont-foot-63
fc-getafe
fc-lorient
deportivo-alaves
fc-nantes
rc-strassburg-alsace
stade-reims
ca-osasuna
fc-metz
fc-girondins-bordeaux
stade-brest-29
as-saint-etienne
ogc-nizza
fc-barcelona
losc-lille
olympique-lyon
olympique-marseille
sco-angers
es-troyes-ac
montpellier-hsc
fc-stade-rennes
kv-kortrijk
fc-paris-saint-germain
kv-oostende
cercle-brugge
oud-heverlee-leuven
rsc-charleroi
kaa-gent
as-monaco
standard-luttich
rsc-anderlecht
krc-genk
royal-antwerpen-fc
fc-brugge
sc-cambuur-leeuwarden
rc-lens
nec-nijmegen
fortuna-sittard
willem-ii-tilburg
pec-zwolle
heracles-almelo
fc-groningen
fc-twente-enschede
sparta-rotterdam
fc-utrecht
vitesse-arnheim
kv-mechelen
feyenoord-rotterdam
psv-eindhoven
beerschot-v-a-
ajax-amsterdam
sc-heerenveen
go-ahead-eagles-deventer
krylya-sovetov-samara
akhmat-grozny
sv-zulte-waregem
az-alkmaar
royale-union-saint-gilloise
rkc-waalwijk
rubin-kazan
dinamo-moskau
zska-moskau
lokomotiv-moskau
fk-krasnodar
arsenal-tula
ural-ekaterinburg
fc-arouca
gil-vicente-fc
fk-khimki
spartak-moskau
boavista-porto-fc
cs-maritimo
fk-rostov
belenenses-sad
fk-ufa
gd-estoril-praia
portimonense-sc
cd-santa-clara
fc-famalicao
sc-braga
cd-tondela
vitoria-guimaraes-sc
fk-sochi
fc-porto
1-fsv-mainz-05
sporting-lissabon
fc-augsburg
vfb-stuttgart
hertha-bsc
eintracht-frankfurt
tsg-1899-hoffenheim
borussia-monchengladbach
vfl-wolfsburg
bayer-04-leverkusen
1-fc-union-berlin
1-fc-koln
zenit-st-petersburg
fc-pacos-de-ferreira
rasenballsport-leipzig
sc-freiburg
borussia-dortmund
moreirense-fc
